description,message
clear sky,나는 햇님이~
clear sky,오늘은 맑다해!
clear sky,오늘은 나가야해
clear sky,데이트하기 좋은 날씨~
clear sky,아이유 - 좋은날
few clouds,오늘은 구름 조금~
few clouds,예쁜 구름을 찾아볼까?
few clouds,구름 한점
few clouds,귀여운 구르미에용
few clouds,구름이 조그음
scattered clouds,구름이 많구름
scattered clouds,오늘은 하늘에 구름이 많아요
scattered clouds,안녕? 나 불렀어?
scattered clouds,쨔잔 나 기다렸어?
scattered clouds,하늘에서 날 찾아봐!
broken clouds,구름이 많구름
broken clouds,오늘 네가 컨디션이 안좋은 것은 모두 날씨 탓이야
broken clouds,우리 오늘 만나? ( =진짜? 이날씨에?)
broken clouds,하늘이 먹먹
broken clouds,오늘은 하늘이 흐려요
shower rain,호우!
shower rain,쉬원하이 내리네
shower rain,소나기가 내려와~
shower rain,우산 챙겼어?
shower rain,잠깐 쉬었다 가자
rain,우산 챙겨가야지비
rain,비오는 날엔 짬뽕?
rain,막걸리에 파전으로 하자 !
rain,이거슨... 테평양의 습기다
rain,호우!
thunderstorm,우산 챙겨가야지비
thunderstorm,이불 밖은 위험해
thunderstorm,토르르르르
thunderstorm,태풍...인가?
thunderstorm,벼락맞은 대추나무는 행운을 불러와요
snow,이런날 회사라니..
snow,오늘 누구와 함께 있나요
snow,나랑 같이 눈사람 만들래?
snow,우린 첫눈 오는날 만나기로 했었지...(주륵)
snow,눈이 와요 눈이와
mist,지금은 안개가 좀 꼈어!
mist,운전 조심해 !!
mist,미스트가 필요없는 날씨
mist,오늘은 뿌연 하늘
mist,안개가 곧 걷히길 바래요!
